place_name,district,region,category,distance_from_gangtok_km,visit_duration_hours,altitude_m,avg_cost,popularity_score,best_time,description
MG Marg,Gangtok,Gangtok,Culture,0,2.0,1650,300,95,All Year,Popular pedestrian shopping street.
Ridge Park,Gangtok,Gangtok,Nature,2,1.5,1700,200,75,All Year,Landscaped park with views.
Ganesh Tok,Gangtok,Gangtok,Photography,7,1.5,1950,300,85,All Year,Panoramic viewpoint.
Hanuman Tok,Gangtok,Gangtok,Spiritual,9,2.0,2194,300,88,All Year,Temple with mountain vistas.
Tashi View Point,Gangtok,Gangtok,Photography,8,1.5,2000,200,82,Oct-May,Sunrise viewpoint.
Enchey Monastery,Gangtok,Gangtok,Spiritual,3,2.0,1900,200,78,All Year,Historic monastery.
Rumtek Monastery,Gangtok,Gangtok,Spiritual,24,3.0,1500,300,90,All Year,Major Buddhist monastery.
Banjhakri Falls,Gangtok,Gangtok,Nature,8,2.0,1700,400,76,All Year,Waterfall and eco-park.
Namgyal Institute of Tibetology,Gangtok,Gangtok,Culture,3,2.0,1650,250,72,All Year,Tibetan heritage museum.
Flower Exhibition Centre,Gangtok,Gangtok,Family,1,1.0,1650,150,65,Mar-Jun,Seasonal flowers.
Gangtok Ropeway,Gangtok,Gangtok,Family,2,1.0,1700,500,84,All Year,Cable car experience.
Do Drul Chorten,Gangtok,Gangtok,Spiritual,3,1.5,1650,200,74,All Year,Buddhist stupa.
Himalayan Zoological Park,Gangtok,Gangtok,Family,12,3.0,1780,400,73,All Year,Wildlife park.
Bakthang Waterfall,Gangtok,Gangtok,Nature,5,1.0,1700,100,60,All Year,Scenic waterfall.
Lingdum Monastery,Gangtok,Gangtok,Spiritual,20,2.0,1400,250,68,All Year,Peaceful monastery.
Tsomgo Lake,East Sikkim,East,Nature,38,4.0,3753,1500,98,Mar-Jun,Famous glacial lake.
Nathula Pass,East Sikkim,East,Adventure,55,5.0,4310,2500,99,Apr-Oct,Historic border pass.
Kupup Lake,East Sikkim,East,Nature,60,2.0,3900,300,70,Apr-Oct,Heart-shaped alpine lake.
Baba Mandir,East Sikkim,East,Spiritual,52,2.0,4000,300,88,Apr-Oct,Popular shrine.
Zuluk,East Sikkim,East,Road Trip,92,6.0,2865,1200,90,Sep-Nov,Famous zig-zag roads.
Lungthung View Point,East Sikkim,East,Photography,88,1.5,4000,100,78,Apr-Oct,High altitude viewpoint.
Thambi View Point,East Sikkim,East,Photography,85,1.5,3415,100,80,Sep-Nov,Views of Zuluk loops.
